#group,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string,string,string,double,dateTime:RFC3339
#default,median,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_field,_measurement,class,host,location,metric_type,model,sensorid,sensorplatform,sensortype,type,_value,_time
,,0,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,sensor,dell01,MER,gauge,R630,woodstack02-mer,esp32,shtcx,physical,69.998169,2026-07-07T14:25:00Z
,,0,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,sensor,dell01,MER,gauge,R630,woodstack02-mer,esp32,shtcx,physical,70.009613,2026-07-07T14:26:00Z
,,0,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,sensor,dell01,MER,gauge,R630,woodstack02-mer,esp32,shtcx,physical,69.95315550000001,2026-07-07T14:27:00Z
,,0,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,sensor,dell01,MER,gauge,R630,woodstack02-mer,esp32,shtcx,physical,69.7013855,2026-07-07T14:28:00Z
,,0,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,sensor,dell01,MER,gauge,R630,woodstack02-mer,esp32,shtcx,physical,69.19326749999999,2026-07-07T14:29:00Z
,,0,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,sensor,dell01,MER,gauge,R630,woodstack02-mer,esp32,shtcx,physical,68.2914735,2026-07-07T14:30:00Z
,,0,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,sensor,dell01,MER,gauge,R630,woodstack02-mer,esp32,shtcx,physical,67.43545549999999,2026-07-07T14:31:00Z
,,0,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,sensor,dell01,MER,gauge,R630,woodstack02-mer,esp32,shtcx,physical,66.9120785,2026-07-07T14:32:00Z
,,0,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,sensor,dell01,MER,gauge,R630,woodstack02-mer,esp32,shtcx,physical,65.9210205,2026-07-07T14:33:00Z
,,0,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,sensor,dell01,MER,gauge,R630,woodstack02-mer,esp32,shtcx,physical,65.56015,2026-07-07T14:34:00Z
,,0,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,sensor,dell01,MER,gauge,R630,woodstack02-mer,esp32,shtcx,physical,65.2626035,2026-07-07T14:35:00Z
,,0,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,sensor,dell01,MER,gauge,R630,woodstack02-mer,esp32,shtcx,physical,61.3487245,2026-07-07T14:36:00Z
,,0,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,sensor,dell01,MER,gauge,R630,woodstack02-mer,esp32,shtcx,physical,61.096954499999995,2026-07-07T14:37:00Z
,,0,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,sensor,dell01,MER,gauge,R630,woodstack02-mer,esp32,shtcx,physical,60.925292999999996,2026-07-07T14:38:00Z
,,0,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,sensor,dell01,MER,gauge,R630,woodstack02-mer,esp32,shtcx,physical,60.159302,2026-07-07T14:39:00Z
,,1,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,sensor,dell01,MER,gauge,R630,woodstack03-mer,esp32,shtcx,physical,74.108887,2026-07-07T14:25:00Z
,,1,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,sensor,dell01,MER,gauge,R630,woodstack03-mer,esp32,shtcx,physical,74.0058895,2026-07-07T14:26:00Z
,,1,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,sensor,dell01,MER,gauge,R630,woodstack03-mer,esp32,shtcx,physical,74.043274,2026-07-07T14:27:00Z
,,1,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,sensor,dell01,MER,gauge,R630,woodstack03-mer,esp32,shtcx,physical,74.1218565,2026-07-07T14:28:00Z
,,1,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,sensor,dell01,MER,gauge,R630,woodstack03-mer,esp32,shtcx,physical,74.0753175,2026-07-07T14:29:00Z
,,1,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,sensor,dell01,MER,gauge,R630,woodstack03-mer,esp32,shtcx,physical,74.053192,2026-07-07T14:30:00Z
,,1,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,sensor,dell01,MER,gauge,R630,woodstack03-mer,esp32,shtcx,physical,74.027252,2026-07-07T14:31:00Z
,,1,2026-07-07T14:24:10.716726347Z,2026-07-07T14:39:10.716726347Z,humidity,woodstack,sensor,dell01,MER,gauge,R630,woodstack03-mer,esp32,shtcx,physical,73.9616395,2026-07-07T14:32:00Z
